,Theta Amplitude Diff,N400 Amplitude Diff,"N400 ((350, 550)) Unrelated","N400 ((350, 550)) Related","Theta ((350, 550)) Unrelated","Theta ((350, 550)) Related"
0,-0.30189,0.5138654984170452,-0.2526512442900639,-0.7665167427071091,-0.50534,-0.20345
1,-0.004830000000000001,0.44862701927844434,0.16452080886002102,-0.2841062104184233,0.38977,0.3946
2,0.70531,0.947005036481713,0.32979459722949234,-0.6172104392522206,0.60044,-0.10487
3,0.4254,-0.5931734895070001,-0.4906510238612171,0.10252246564578302,0.32059,-0.10480999999999999
4,-0.236346,-0.23520412345262193,0.17471647517260291,0.40992059862522484,-0.17404,0.06230599999999999
5,-0.15299999999999997,0.0815036410189368,-0.013939179383883397,-0.09544282040282019,0.06137000000000001,0.21436999999999998
6,0.07804,0.09901504820235835,0.13933384073760524,0.0403187925352469,0.45835,0.38031
7,-0.97881,-0.3290521283459598,0.06425838245302336,0.39331051079898316,-0.16097,0.81784
8,-1.0396969999999999,0.4207129035667273,0.14004208169742424,-0.28067082186930303,-1.1094,-0.069703
9,-1.45919,-0.3767176374488319,-1.459207277062495,-1.0824896396136632,-0.49727,0.9619200000000001
10,-0.85724,-0.8894076307776998,-0.7624922255730352,0.12691540520466457,-0.39604,0.4612
11,-0.117251,0.30710470383892957,0.27907452982146747,-0.028030174017462117,0.076019,0.19327
12,-0.54243,-0.4637683283010084,-0.15768760707626772,0.30608072122474067,-0.69904,-0.15661
13,-0.9342100000000001,1.6133261051156795,1.4932369583870704,-0.12008914672860913,-1.6082,-0.67399
14,0.15835,-0.25596592201662705,-0.4095032610666571,-0.15353733905003003,-0.43377,-0.59212
15,-0.38417,0.20512865561171323,-0.39921549038348636,-0.6043441459951996,0.18767999999999999,0.57185
16,0.28291900000000003,-0.067483174380779,-0.8344869922895632,-0.7670038179087842,-0.031251,-0.31417
17,-0.17640000000000003,0.9264388905954974,0.3478998954107702,-0.5785389951847273,-0.29799000000000003,-0.12159
18,0.27521019999999996,0.45103147640364505,-0.1359240058221379,-0.586955482225783,0.0033602,-0.27185
19,-0.6212099999999999,-0.2884863148561528,-0.4051943898460498,-0.11670807498989698,-0.9270799999999999,-0.30587
20,-0.50423,0.3010929252097912,-0.24279568323625283,-0.543888608446044,0.13601,0.6402399999999999
21,0.19964200000000001,-0.03847284615581953,-0.41722358548734106,-0.37875073933152154,0.18487,-0.014772
22,-0.87478,0.7714276603929809,1.3260332414442126,0.5546055810512317,-0.49166000000000004,0.38311999999999996
23,-0.64139,-0.3208618605083792,-0.41969912655848945,-0.09883726605011023,0.18293,0.82432
24,-0.22022899999999998,-0.2477065249788889,-0.3007258121562664,-0.05301928717737753,-0.2002,0.020028999999999998
25,-0.7385500000000002,-1.0250022713154583,-1.246210549067102,-0.2212082777516437,-1.2491,-0.51055
26,-0.8070299999999999,0.023707542706982648,0.018274933270838706,-0.005432609436143941,-0.54797,0.25906
27,-1.84344,-0.2465394804088397,-0.47942736428576255,-0.23288788387692286,-0.8759100000000001,0.9675299999999999
28,-0.87358,0.1478695131100347,-0.02146354795522533,-0.16933306106526003,-0.45802,0.41556000000000004
29,-1.47934,0.10253763238392377,-0.26073660600826876,-0.36327423839219253,-0.6844100000000001,0.79493
30,-1.2030800000000001,-0.23385467458915543,-0.7933543166022277,-0.5594996420130722,-0.45627,0.7468100000000001
